Cell,Lon,Lat,ANT_DIRECTION,ANT_BEAM_WIDTH,UARFCN,SC,RNC-ID,C-ID,LAC
U09631_LVI_CHR_RUS_305_U,25.98583,48.27611,305.00,65.00,10712,6,,09631,57941
U09634_LVI_CHR_RUS_305_U,25.98583,48.27611,305.00,65.00,10737,6,,09634,57941
U09637_LVI_CHR_RUS_305_U,25.98583,48.27611,305.00,65.00,10762,6,,09637,57941
U09641_LVI_CHR_GLI_020_U,25.92953,48.29022,20.00,65.00,10712,224,,09641,57931
U09642_LVI_CHR_GLI_120_U,25.92953,48.29022,120.00,65.00,10712,225,,09642,57931
U09644_LVI_CHR_GLI_020_U,25.92953,48.29022,20.00,65.00,10737,224,,09644,57931
U09645_LVI_CHR_GLI_120_U,25.92953,48.29022,120.00,65.00,10737,225,,09645,57931
U09647_LVI_CHR_GLI_020_U,25.92953,48.29022,20.00,65.00,10762,224,,09647,57931
U09648_LVI_CHR_GLI_120_U,25.92953,48.29022,120.00,65.00,10762,225,,09648,57931
U09681_LVI_CHR_MYR_020_U,25.95542,48.27069,20.00,65.00,10712,448,,09681,57941
U09682_LVI_CHR_MYR_140_U,25.95542,48.27069,140.00,65.00,10712,449,,09682,57941
U09683_LVI_CHR_MYR_270_U,25.95542,48.27069,270.00,65.00,10712,450,,09683,57941
U09684_LVI_CHR_MYR_020_U,25.95542,48.27069,20.00,65.00,10737,448,,09684,57941
U09685_LVI_CHR_MYR_140_U,25.95542,48.27069,140.00,65.00,10737,449,,09685,57941
U09686_LVI_CHR_MYR_270_U,25.95542,48.27069,270.00,65.00,10737,450,,09686,57941
U09687_LVI_CHR_MYR_020_U,25.95542,48.27069,20.00,65.00,10762,448,,09687,57941
U09688_LVI_CHR_MYR_140_U,25.95542,48.27069,140.00,65.00,10762,449,,09688,57941
U09689_LVI_CHR_MYR_270_U,25.95542,48.27069,270.00,65.00,10762,450,,09689,57941
U09691_LVI_CHR_HLU_345_U,25.95278,48.32250,345.00,63.00,10712,502,,09691,57932
U09694_LVI_CHR_HLU_345_U,25.95278,48.32250,345.00,63.00,10737,502,,09694,57932
U09697_LVI_CHR_HLU_345_U,25.95278,48.32250,345.00,63.00,10762,502,,09697,57932
U09771_LVI_CHR_TKA_270_U,25.97800,48.31797,270.00,65.00,10712,206,,09771,57932
U09774_LVI_CHR_TKA_270_U,25.97800,48.31797,270.00,65.00,10737,206,,09774,57932
U09777_LVI_CHR_TKA_270_U,25.97800,48.31797,270.00,65.00,10762,206,,09777,57932
U09781_LVI_CHR_MTR_240_U,25.90547,48.32072,240.00,65.00,10712,445,,09781,57932
U09784_LVI_CHR_MTR_240_U,25.90547,48.32072,240.00,65.00,10737,445,,09784,57932
U09787_LVI_CHR_MTR_240_U,25.90547,48.32072,240.00,65.00,10762,445,,09787,57932
U09791_LVI_CHR_LIS_350_U,25.96558,48.33475,350.00,65.00,10712,173,,09791,57932
U09794_LVI_CHR_LIS_350_U,25.96558,48.33475,350.00,65.00,10737,173,,09794,57932
U09797_LVI_CHR_LIS_350_U,25.96558,48.33475,350.00,65.00,10762,173,,09797,57932
U09801_LVI_CHR_GMD_020_U,25.93397,48.28811,20.00,65.00,10712,72,,09801,57931
U09802_LVI_CHR_GMD_140_U,25.93397,48.28811,140.00,65.00,10712,73,,09802,57931
U09803_LVI_CHR_GMD_250_U,25.93397,48.28811,250.00,65.00,10712,74,,09803,57931
U09804_LVI_CHR_GMD_020_U,25.93397,48.28811,20.00,65.00,10737,72,,09804,57931
U09805_LVI_CHR_GMD_140_U,25.93397,48.28811,140.00,65.00,10737,73,,09805,57931
U09806_LVI_CHR_GMD_250_U,25.93397,48.28811,250.00,65.00,10737,74,,09806,57931
U09807_LVI_CHR_GMD_020_U,25.93397,48.28811,20.00,65.00,10762,72,,09807,57931
U09808_LVI_CHR_GMD_140_U,25.93397,48.28811,140.00,65.00,10762,73,,09808,57931
U09809_LVI_CHR_GMD_250_U,25.93397,48.28811,250.00,65.00,10762,74,,09809,57931
U09821_LVI_CHR_SAD_100_U,25.94147,48.29122,100.00,65.00,10712,280,,09821,57931
U09822_LVI_CHR_SAD_200_U,25.94147,48.29122,200.00,65.00,10712,281,,09822,57931
U09823_LVI_CHR_SAD_300_U,25.94147,48.29122,300.00,65.00,10712,282,,09823,57931
U09824_LVI_CHR_SAD_100_U,25.94147,48.29122,100.00,65.00,10737,280,,09824,57931
U09825_LVI_CHR_SAD_200_U,25.94147,48.29122,200.00,65.00,10737,281,,09825,57931
U09826_LVI_CHR_SAD_300_U,25.94147,48.29122,300.00,65.00,10737,282,,09826,57931
U09827_LVI_CHR_SAD_100_U,25.94147,48.29122,100.00,65.00,10762,280,,09827,57931
U09828_LVI_CHR_SAD_200_U,25.94147,48.29122,200.00,65.00,10762,281,,09828,57931
U09829_LVI_CHR_SAD_300_U,25.94147,48.29122,300.00,65.00,10762,282,,09829,57931
U09831_LVI_CHR_VAL_310_U,25.95661,48.34681,310.00,65.00,10712,318,,09831,57932
U09834_LVI_CHR_VAL_310_U,25.95661,48.34681,310.00,65.00,10737,318,,09834,57932
U09837_LVI_CHR_VAL_310_U,25.95661,48.34681,310.00,65.00,10762,318,,09837,57932
U09841_LVI_CHR_PTR_065_U,25.93636,48.28375,65.00,65.00,10712,261,,09841,57931
U09842_LVI_CHR_PTR_185_U,25.93636,48.28375,185.00,65.00,10712,259,,09842,57931
U09843_LVI_CHR_PTR_305_U,25.93636,48.28375,305.00,65.00,10712,260,,09843,57931
U09844_LVI_CHR_PTR_065_U,25.93636,48.28375,65.00,65.00,10737,261,,09844,57931
U09845_LVI_CHR_PTR_185_U,25.93636,48.28375,185.00,65.00,10737,259,,09845,57931
U09846_LVI_CHR_PTR_305_U,25.93636,48.28375,305.00,65.00,10737,260,,09846,57931
U09847_LVI_CHR_PTR_065_U,25.93636,48.28375,65.00,65.00,10762,261,,09847,57931
U09848_LVI_CHR_PTR_185_U,25.93636,48.28375,185.00,65.00,10762,259,,09848,57931
U09849_LVI_CHR_PTR_305_U,25.93636,48.28375,305.00,65.00,10762,260,,09849,57931
U09851_LVI_CHR_TUR_135_U,25.94047,48.29431,135.00,65.00,10712,184,,09851,57931
U09852_LVI_CHR_TUR_230_U,25.94047,48.29431,230.00,65.00,10712,185,,09852,57931
U09853_LVI_CHR_TUR_325_U,25.94047,48.29431,325.00,65.00,10712,186,,09853,57931
U09854_LVI_CHR_TUR_135_U,25.94047,48.29431,135.00,65.00,10737,184,,09854,57931
U09855_LVI_CHR_TUR_230_U,25.94047,48.29431,230.00,65.00,10737,185,,09855,57931
U09856_LVI_CHR_TUR_325_U,25.94047,48.29431,325.00,65.00,10737,186,,09856,57931
U09857_LVI_CHR_TUR_135_U,25.94047,48.29431,135.00,65.00,10762,184,,09857,57931
U09858_LVI_CHR_TUR_230_U,25.94047,48.29431,230.00,65.00,10762,185,,09858,57931
U09859_LVI_CHR_TUR_325_U,25.94047,48.29431,325.00,65.00,10762,186,,09859,57931
U09861_LVI_CHR_RBU_155_U,25.92906,48.29708,155.00,63.00,10712,96,,09861,57931
U09862_LVI_CHR_RBU_270_U,25.92906,48.29708,270.00,63.00,10712,97,,09862,57931
U09864_LVI_CHR_RBU_155_U,25.92906,48.29708,155.00,63.00,10737,96,,09864,57931
U09865_LVI_CHR_RBU_270_U,25.92906,48.29708,270.00,63.00,10737,97,,09865,57931
U09867_LVI_CHR_RBU_155_U,25.92906,48.29708,155.00,63.00,10762,96,,09867,57931
